Rank,School,City,Score,Address
70,University of Texas-Dallas ,"Richardson, TX",2.4,"Texas A and M University, Richardson, TX 75080, USA"
70,Washington State University ,"Pullman, WA",2.4,"Washington State University Arboretum, Washington State University Arboretum, Pullman, WA 99163, USA"
82,Brandeis University ,"Waltham, MA",2.3,South St 
82,Clemson University ,"Clemson, SC",2.3,"Clemson University Foundation, Clemson, SC 29631, USA"
82,CUNY Graduate School and University Center ,"New York, NY",2.3,"New York, NY, USA"
82,Florida State University ,"Tallahassee, FL",2.3,"Florida State University Reservation, 3226 Flastacowo Rd, Tallahassee, FL 32310, USA"
82,George Washington University ,"Washington, DC",2.3,"George Washington University, Washington, DC, USA"
82,University of Connecticut ,"Storrs, CT",2.3,"University of Connecticut - Depot Campus, Storrs, CT 06269, USA"
82,University of Kansas ,"Lawrence, KS",2.3,"Kansas St, Lawrence, KS 66046, USA"
82,University of New Mexico ,"Albuquerque, NM",2.3,"University Of New Mexico Airport Parcel, Albuquerque, NM, USA"
90,Auburn University ,"Auburn, AL",2.2,"Auburn University, Auburn, AL 36849, USA"
90,Brigham Young University ,"Provo, UT",2.2,"Provo, UT, USA"
90,Drexel University ,"Philadelphia, PA",2.2,"Drexel Rd, Philadelphia, PA, USA"
90,Kansas State University ,"Manhattan, KS",2.2,"KSU Parking Garage, Mid-Campus Dr, Manhattan, KS 66502, USA"
90,New Jersey Institute of Technology ,"Newark, NJ",2.2,"Newark, NJ"
90,Oregon Health and Science University ,"Beaverton, OR",2.2,"Beaverton, OR, USA"
90,University of Central Florida ,"Orlando, FL",2.2,"Central Florida GreeneWay, Orlando, FL, USA"
90,University of Georgia ,"Athens, GA",2.2,"University of Georgia Chapel, Athens, GA 30602, USA"
90,University of Kentucky ,"Lexington, KY",2.2,"University of Kentucky Arboretum, 500 Alumni Dr, Lexington, KY 40503, USA"
90,University of Texas-Arlington ,"Arlington, TX",2.2,"University Dr, Arlington, TX 76013, USA"
90,Worcester Polytechnic Institute ,"Worcester, MA",2.2,"Worcester, MA"
